Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time,Sleep Alignment
2026-01-10,88,53,36,--,12.49,'-0.5°,36,Good,8h 4min,8h 0min,9:52 PM,5:59 AM,--
2026-01-09,79,55,42,--,13.61,'-0.4°,38,Fair,7h 27min,7h 40min,11:13 PM,6:44 AM,--
2026-01-08,85,56,42,--,13.04,'-0.1°,39,Good,8h 13min,8h 0min,9:09 PM,5:26 AM,--
2026-01-07,81,56,38,--,13.34,'+0.1°,34,Good,7h 47min,8h 0min,9:29 PM,5:30 AM,--
2026-01-06,83,54,49,--,11.62,0°,34,Good,8h 6min,8h 0min,9:09 PM,5:30 AM,--
2026-01-05,69,55,42,--,12.55,0°,35,Fair,7h 30min,8h 30min,9:17 PM,5:18 AM,--
2026-01-04,58,51,50,--,11.96,'-0.5°,35,Poor,8h 16min,8h 0min,9:38 PM,7:05 AM,--
2026-01-03,78,51,53,--,12.08,'+0.2°,33,Fair,7h 20min,8h 0min,10:18 PM,5:44 AM,--
2026-01-02,81,57,51,--,13.17,'+0.4°,31,Good,7h 51min,8h 50min,11:38 PM,7:31 AM,--
2026-01-01,39,65,15,--,19.23,'+0.3°,29,Poor,6h 27min,8h 30min,2:14 AM,9:42 AM,--
2025-12-31,73,56,32,--,13.16,'-0.1°,30,Fair,7h 58min,8h 0min,11:01 PM,7:28 AM,--
2025-12-30,86,52,42,--,11.63,'-0.7°,29,Good,9h 33min,7h 30min,9:51 PM,7:36 AM,--
2025-12-29,87,52,74,--,12.46,0°,30,Good,10h 29min,8h 50min,8:47 PM,7:18 AM,--
2025-12-28,43,60,18,--,18.06,'+0.5°,28,Poor,6h 48min,8h 30min,12:42 AM,7:59 AM,--
2025-12-27,71,57,41,--,15.33,'+0.5°,27,Fair,9h 30min,8h 40min,9:30 PM,7:24 AM,--
2025-12-26,52,60,24,--,15.99,'+0.5°,27,Poor,8h 2min,9h 0min,11:13 PM,7:18 AM,--
2025-12-25,41,60,14,--,18.73,'+0.7°,29,Poor,6h 20min,9h 0min,1:18 AM,8:06 AM,--
2025-12-24,44,65,22,--,17.51,'-0.4°,32,Poor,6h 5min,8h 30min,3:09 AM,9:49 AM,--
2025-12-23,88,51,67,--,11.83,0°,34,Good,8h 40min,8h 0min,9:38 PM,6:35 AM,--
2025-12-22,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-12-21,46,56,14,--,19.39,'+0.4°,35,Poor,6h 39min,8h 30min,2:47 AM,9:35 AM,--
2025-12-20,81,55,41,--,13.78,'-0.5°,38,Good,7h 45min,8h 0min,10:37 PM,6:42 AM,--
2025-12-19,88,52,49,--,12.19,'-0.3°,34,Good,7h 58min,7h 40min,9:47 PM,5:53 AM,--
2025-12-18,89,49,48,--,11.45,'-0.4°,33,Good,8h 14min,8h 0min,9:06 PM,5:26 AM,--
2025-12-17,83,53,45,--,12.03,'-0.4°,34,Good,8h 2min,8h 0min,10:05 PM,6:15 AM,--
2025-12-16,86,48,61,--,10.95,'-0.2°,33,Good,8h 11min,8h 0min,9:13 PM,5:31 AM,--
2025-12-15,85,52,54,--,12.21,'+0.2°,33,Good,7h 58min,8h 50min,9:32 PM,5:30 AM,--
2025-12-14,83,54,63,--,12.57,0°,33,Good,7h 27min,9h 0min,11:08 PM,6:40 AM,--
