Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time,Sleep Alignment
2026-08-22,87,48,45,--,12.48,'-0.1°,42,Good,7h 26min,7h 20min,11:09 PM,6:35 AM,Not Aligned
2026-08-21,86,48,54,--,12.24,'+0.5°,43,Good,7h 39min,7h 20min,9:05 PM,4:48 AM,Behind
2026-08-20,83,49,45,--,12.94,'+0.3°,42,Good,7h 28min,7h 20min,9:28 PM,5:13 AM,Behind
2026-08-19,80,48,46,--,13.73,'+0.1°,43,Good,7h 38min,7h 20min,9:01 PM,5:00 AM,Behind
2026-08-18,79,49,45,--,12.88,0°,44,Fair,8h 34min,7h 20min,7:43 PM,4:41 AM,Behind
2026-08-17,89,46,59,--,11.63,'+0.1°,46,Good,7h 28min,7h 20min,9:17 PM,4:48 AM,Behind
2026-08-16,86,46,52,--,12.69,0°,46,Good,7h 27min,7h 20min,9:02 PM,4:33 AM,Behind
2026-08-15,88,45,66,--,11.78,'-0.3°,46,Good,7h 45min,7h 20min,9:28 PM,5:17 AM,Behind
2026-08-14,75,48,37,--,14.46,0°,46,Fair,7h 39min,7h 20min,9:47 PM,5:32 AM,Behind
2026-08-13,89,44,60,--,11.12,0°,49,Good,7h 26min,7h 20min,9:17 PM,4:48 AM,Behind
2026-08-12,84,46,56,--,11.35,'-0.1°,50,Good,7h 24min,7h 20min,9:17 PM,4:57 AM,Behind
2026-08-11,91,47,62,--,10.78,'-0.2°,51,Excellent,7h 33min,7h 20min,9:21 PM,5:01 AM,Behind
2026-08-10,86,45,61,--,12.71,'+0.1°,53,Good,7h 55min,7h 20min,8:58 PM,4:59 AM,Behind
2026-08-09,79,46,49,--,12.16,'-0.1°,54,Fair,6h 29min,7h 0min,10:06 PM,4:58 AM,Behind
2026-08-08,87,46,52,--,11.94,'+0.4°,47,Good,7h 42min,7h 0min,9:20 PM,5:15 AM,Behind
2026-08-07,92,44,62,--,10.95,'+0.2°,41,Excellent,7h 48min,7h 0min,9:26 PM,5:26 AM,Behind
2026-08-06,87,44,62,--,10.85,'-0.4°,41,Good,7h 36min,7h 0min,9:10 PM,5:00 AM,Behind
2026-08-05,88,44,60,--,10.74,0°,40,Good,7h 33min,7h 0min,9:42 PM,5:39 AM,Behind
2026-08-04,91,41,67,--,10.14,'+0.3°,40,Excellent,8h 6min,7h 20min,9:17 PM,5:47 AM,Behind
2026-08-03,79,43,55,--,11.55,'+0.9°,39,Fair,6h 40min,8h 10min,9:42 PM,4:37 AM,Behind
2026-08-02,41,49,15,--,20.24,'+1.4°,39,Poor,6h 13min,7h 50min,1:01 AM,7:43 AM,Not Aligned
2026-08-01,47,49,26,--,17.56,'-0.2°,44,Poor,7h 20min,7h 20min,12:12 AM,8:14 AM,Not Aligned
2026-07-31,86,47,53,--,11.11,'+0.3°,51,Good,6h 54min,7h 20min,10:00 PM,4:56 AM,Behind
2026-07-30,84,46,58,--,11.52,0°,53,Good,7h 30min,7h 20min,9:32 PM,5:20 AM,Behind
2026-07-29,78,42,63,--,10.89,'-0.4°,53,Fair,6h 19min,7h 20min,9:16 PM,3:45 AM,Behind
2026-07-28,87,44,57,--,11.52,'-0.4°,52,Good,7h 2min,7h 20min,9:09 PM,4:37 AM,Behind
2026-07-27,89,44,66,--,11.44,'-0.1°,52,Good,7h 38min,7h 50min,8:58 PM,4:49 AM,Behind
2026-07-26,50,47,42,--,13.42,'-0.8°,51,Poor,6h 36min,7h 30min,9:27 PM,5:19 AM,Behind
